Open,high,low,close,volume,UnixTime
34.375,34.375,34.375,34.375,0.0000,2017-05-24
34.375,36.000,31.000,35.000,9205.0001,2017-05-25
35.000,40.000,30.200,36.000,22442.0003,2017-05-26
36.000,36.000,20.000,27.000,95231.7658,2017-05-27
27.000,29.000,20.500,29.000,20786.6583,2017-05-28
29.000,29.550,25.500,25.501,12502.2550,2017-05-29
25.501,27.900,25.501,27.900,1649.0000,2017-05-30
27.900,29.000,26.000,29.000,12278.8001,2017-05-31
29.000,37.800,27.100,37.800,76995.3284,2017-06-01
37.800,48.000,33.000,36.400,77995.5000,2017-06-02
36.400,36.400,31.000,31.000,72246.5091,2017-06-03
31.000,36.390,31.000,35.800,27354.5915,2017-06-04
35.800,35.800,32.210,32.218,59440.0000,2017-06-05
32.218,32.700,31.000,31.500,179814.3223,2017-06-06
31.500,37.000,28.900,31.000,259703.2689,2017-06-07
31.000,33.000,30.700,31.799,231852.0739,2017-06-08
31.799,32.998,31.751,31.800,378201.0963,2017-06-09
31.800,32.200,29.500,29.500,186948.3809,2017-06-10
29.500,30.199,28.901,29.999,133972.8860,2017-06-11
29.999,31.499,28.100,31.498,397656.4673,2017-06-12
31.498,31.498,28.100,30.000,290278.2195,2017-06-13
30.000,33.900,28.120,30.957,286037.1010,2017-06-14
30.957,31.000,26.000,27.579,302138.4981,2017-06-15
29.117,29.900,26.400,28.351,210249.6838,2017-06-16
28.351,30.000,27.244,29.645,162145.5486,2017-06-17
29.645,30.399,27.500,29.510,169581.0758,2017-06-18
29.510,31.000,28.560,29.138,143800.5726,2017-06-19
29.138,36.000,25.000,36.000,961191.1137,2017-06-20
36.000,36.000,30.020,30.500,445220.6247,2017-06-21
30.500,31.800,30.110,31.289,115480.1297,2017-06-22
31.289,33.115,31.000,32.600,257872.7386,2017-06-23
32.600,33.850,30.680,31.780,221594.9715,2017-06-24
31.780,32.000,30.700,30.700,65771.6798,2017-06-25
30.700,32.000,26.500,29.079,389222.9847,2017-06-26
29.079,31.000,26.800,29.708,283268.1552,2017-06-27
29.708,30.786,28.500,30.350,395151.6526,2017-06-28
30.350,30.391,28.000,28.620,278207.8389,2017-06-29
28.620,29.790,28.190,28.500,270334.6946,2017-06-30
28.500,31.513,27.700,27.800,453989.1316,2017-07-01
27.800,31.000,26.889,28.400,366123.4936,2017-07-02
28.400,28.737,27.889,28.490,322171.7551,2017-07-03
28.490,28.850,28.150,28.485,255727.6101,2017-07-04
28.485,28.671,27.900,28.120,458527.9057,2017-07-05
28.120,28.500,28.120,28.319,219572.3886,2017-07-06
28.319,28.319,26.501,26.569,338324.2089,2017-07-07
26.569,26.569,25.000,25.869,1651036.1465,2017-07-08
25.873,27.717,25.845,26.140,2159719.7224,2017-07-09
26.194,26.194,21.182,21.631,1276602.5104,2017-07-10
21.212,24.350,18.000,20.000,1701032.7498,2017-07-11
20.000,21.940,19.976,21.933,1355443.5071,2017-07-12
21.933,25.000,21.500,22.300,531955.4821,2017-07-13
